Task #141592653: depth 0, type 3, seed 141592653, output 19434 (2 descendants)
Task #578541328: depth 3, type 1, seed 578541328, output 1024901 (2 descendants)
Task #2273737528: depth 3, type 1, seed 2273737528, output 158822 (2 descendants)
Task #1114988137: depth 3, type 1, seed 1114988137, output 667745 (2 descendants)
Task #2511822961: depth 3, type 5, seed 2511822961, output 4029766838 (2 descendants)
Task #3847690774: depth 3, type 2, seed 3847690774, output 3386261081 (2 descendants)
Task #3165189533: depth 3, type 3, seed 3165189533, output 20404 (2 descendants)
Task #3868342212: depth 3, type 2, seed 3868342212, output 3261180575 (2 descendants)
Task #711591475: depth 3, type 2, seed 711591475, output 1868598899 (2 descendants)
Task #3808597738: depth 3, type 3, seed 3808597738, output 21956 (2 descendants)
Task #272950450: depth 3, type 2, seed 272950450, output 3074330963 (2 descendants)
Task #4136539527: depth 3, type 1, seed 4136539527, output 660538 (2 descendants)
Task #2221907994: depth 3, type 1, seed 2221907994, output 526521 (2 descendants)
Task #1308741421: depth 3, type 5, seed 1308741421, output 1351757627 (2 descendants)
Task #774448666: depth 3, type 1, seed 774448666, output 1070190 (2 descendants)
Task #1484985140: depth 3, type 1, seed 1484985140, output 804789 (2 descendants)
Task #2245224184: depth 3, type 1, seed 2245224184, output 399424 (2 descendants)
Task #1678383202: depth 3, type 5, seed 1678383202, output 1242283274 (2 descendants)
Task #782105693: depth 3, type 1, seed 782105693, output 603360 (2 descendants)
Task #1625144509: depth 3, type 4, seed 1625144509, output 1647469924 (2 descendants)
Task #3535761104: depth 3, type 2, seed 3535761104, output 322494401 (2 descendants)
Task #3045548981: depth 3, type 1, seed 3045548981, output 248546 (2 descendants)
Task #3510529965: depth 3, type 1, seed 3510529965, output 274284 (2 descendants)
Task #2952410685: depth 3, type 3, seed 2952410685, output 19575 (2 descendants)
Task #3248762986: depth 3, type 2, seed 3248762986, output 3163564422 (2 descendants)
Task #396189816: depth 3, type 4, seed 396189816, output 943153713 (2 descendants)
Task #2151580141: depth 3, type 4, seed 2151580141, output 811885110 (2 descendants)
Task #3407371387: depth 3, type 1, seed 3407371387, output 367824 (2 descendants)
Task #2537921578: depth 3, type 3, seed 2537921578, output 25403 (2 descendants)
Task #456731606: depth 3, type 2, seed 456731606, output 1216241322 (2 descendants)
Task #978800607: depth 3, type 2, seed 978800607, output 3879887746 (2 descendants)
Task #4244094049: depth 3, type 3, seed 4244094049, output 15381 (2 descendants)
Task #2222990806: depth 3, type 5, seed 2222990806, output 2449619525 (2 descendants)
Task #3683681302: depth 3, type 1, seed 3683681302, output 6964 (2 descendants)
Task #2533890172: depth 4, type 5, seed 2533890172, output 1930314808 (2 descendants)
Task #1317792056: depth 4, type 4, seed 1317792056, output 1714895157 (2 descendants)
Task #2068054612: depth 4, type 3, seed 2068054612, output 21705 (2 descendants)
Task #4135594112: depth 4, type 1, seed 4135594112, output 144214 (2 descendants)
Task #1364225230: depth 4, type 1, seed 1364225230, output 827161 (2 descendants)
Task #530179432: depth 4, type 4, seed 530179432, output 1697985636 (2 descendants)
Task #272656993: depth 4, type 4, seed 272656993, output 912537648 (2 descendants)
Task #3607188325: depth 4, type 5, seed 3607188325, output 2781962857 (2 descendants)
Task #3829510170: depth 4, type 3, seed 3829510170, output 12816 (2 descendants)
Task #378248822: depth 4, type 3, seed 378248822, output 21223 (2 descendants)
Task #3672001939: depth 4, type 2, seed 3672001939, output 1059579236 (2 descendants)
Task #905874137: depth 4, type 4, seed 905874137, output 1647339061 (2 descendants)
Task #3021563168: depth 4, type 4, seed 3021563168, output 895640881 (2 descendants)
Task #1983883897: depth 4, type 2, seed 1983883897, output 436694069 (2 descendants)
Task #2073054970: depth 4, type 3, seed 2073054970, output 21025 (2 descendants)
Task #1189855406: depth 4, type 2, seed 1189855406, output 768141297 (2 descendants)
Task #4234141313: depth 4, type 3, seed 4234141313, output 21054 (2 descendants)
Task #1692243750: depth 4, type 2, seed 1692243750, output 3928752286 (2 descendants)
Task #2260754210: depth 4, type 4, seed 2260754210, output 963010869 (2 descendants)
Task #1333313052: depth 4, type 4, seed 1333313052, output 808792161 (2 descendants)
Task #2941902277: depth 4, type 2, seed 2941902277, output 3094052589 (2 descendants)
Task #3964024199: depth 4, type 5, seed 3964024199, output 1997720244 (2 descendants)
Task #3451794359: depth 4, type 4, seed 3451794359, output 892874849 (2 descendants)
Task #467204025: depth 4, type 4, seed 467204025, output 828532324 (2 descendants)
Task #925868719: depth 4, type 2, seed 925868719, output 3224179529 (2 descendants)
Task #3868350552: depth 4, type 5, seed 3868350552, output 659575002 (2 descendants)
Task #292819398: depth 4, type 3, seed 292819398, output 11926 (2 descendants)
Task #35756393: depth 4, type 5, seed 35756393, output 1488819841 (2 descendants)
Task #2876568996: depth 4, type 3, seed 2876568996, output 20515 (2 descendants)
Task #2610311838: depth 4, type 1, seed 2610311838, output 453745 (2 descendants)
Task #1570947992: depth 4, type 1, seed 1570947992, output 739028 (2 descendants)
Task #3270664211: depth 4, type 5, seed 3270664211, output 2477707879 (2 descendants)
Task #3347888377: depth 4, type 3, seed 3347888377, output 9345 (2 descendants)
Task #810051721: depth 4, type 5, seed 810051721, output 2266863586 (2 descendants)
Task #321116924: depth 4, type 2, seed 321116924, output 384907715 (2 descendants)
Task #1964645458: depth 4, type 5, seed 1964645458, output 746481717 (2 descendants)
Task #586821366: depth 4, type 4, seed 586821366, output 926429542 (2 descendants)
Task #3724223365: depth 4, type 1, seed 3724223365, output 540384 (2 descendants)
Task #3151885729: depth 4, type 1, seed 3151885729, output 1062914 (2 descendants)
Task #307997223: depth 4, type 2, seed 307997223, output 2147609600 (2 descendants)
Task #1496298784: depth 4, type 1, seed 1496298784, output 396846 (2 descendants)
Task #2396393882: depth 4, type 4, seed 2396393882, output 825845044 (2 descendants)
Task #2544818888: depth 4, type 1, seed 2544818888, output 933181 (2 descendants)
Task #891210298: depth 4, type 1, seed 891210298, output 881616 (2 descendants)
Task #2730574119: depth 4, type 4, seed 2730574119, output 1697866596 (2 descendants)
Task #2339493366: depth 4, type 3, seed 2339493366, output 21100 (2 descendants)
Task #2297862207: depth 4, type 3, seed 2297862207, output 21478 (2 descendants)
Task #1469776408: depth 4, type 4, seed 1469776408, output 909402465 (2 descendants)
Task #4096905962: depth 4, type 1, seed 4096905962, output 1039636 (2 descendants)
Task #218399552: depth 4, type 3, seed 218399552, output 18441 (2 descendants)
Task #4248876875: depth 4, type 4, seed 4248876875, output 1698063928 (2 descendants)
Task #921839078: depth 4, type 2, seed 921839078, output 2618597451 (2 descendants)
Task #283086721: depth 4, type 4, seed 283086721, output 878928944 (2 descendants)
Task #783634497: depth 4, type 5, seed 783634497, output 3051712721 (2 descendants)
Task #1386840045: depth 4, type 4, seed 1386840045, output 878982197 (2 descendants)
Task #292918777: depth 4, type 3, seed 292918777, output 15865 (2 descendants)
Task #953441944: depth 4, type 4, seed 953441944, output 811872564 (2 descendants)
Task #3262835247: depth 4, type 5, seed 3262835247, output 2547171890 (2 descendants)
Task #945536688: depth 4, type 3, seed 945536688, output 17616 (2 descendants)
Task #1908423058: depth 4, type 5, seed 1908423058, output 1498337327 (2 descendants)
Task #2377523094: depth 4, type 4, seed 2377523094, output 1667458356 (2 descendants)
Task #2562680058: depth 4, type 1, seed 2562680058, output 108945 (2 descendants)
Task #1515465001: depth 4, type 5, seed 1515465001, output 4034201126 (2 descendants)
Task #2125544916: depth 4, type 2, seed 2125544916, output 1924534505 (2 descendants)
Task #947747015: depth 4, type 4, seed 947747015, output 942748515 (2 descendants)
Task #13510407: depth 4, type 4, seed 13510407, output 842413104 (2 descendants)
Task #3228002047: depth 4, type 5, seed 3228002047, output 2614282232 (2 descendants)
Task #2371926554: depth 4, type 1, seed 2371926554, output 249854 (2 descendants)
Task #2156373000: depth 4, type 5, seed 2156373000, output 2070615538 (2 descendants)
Task #3090812439: depth 4, type 4, seed 3090812439, output 1700934453 (2 descendants)
Task #4139823263: depth 4, type 5, seed 4139823263, output 984570123 (2 descendants)
Task #3008356686: depth 4, type 5, seed 3008356686, output 2593398519 (2 descendants)
Task #3447502203: depth 4, type 5, seed 3447502203, output 1766288833 (2 descendants)
Task #573071753: depth 4, type 5, seed 573071753, output 2666981813 (2 descendants)
Task #4157695316: depth 4, type 1, seed 4157695316, output 822108 (2 descendants)
Task #818615440: depth 4, type 5, seed 818615440, output 3942611414 (2 descendants)
Task #2081746144: depth 4, type 2, seed 2081746144, output 2582052259 (2 descendants)
Task #3262639363: depth 4, type 4, seed 3262639363, output 878995045 (2 descendants)
Task #1874184807: depth 4, type 5, seed 1874184807, output 499010799 (2 descendants)
Task #2522613300: depth 4, type 4, seed 2522613300, output 1681470562 (2 descendants)
Task #3400148604: depth 5, type 1, seed 3400148604, output 145631 (0 descendants)
Task #47093802: depth 5, type 3, seed 47093802, output 14635 (0 descendants)
Task #2737499677: depth 5, type 4, seed 2737499677, output 1714959459 (0 descendants)
Task #3364737322: depth 5, type 1, seed 3364737322, output 973776 (0 descendants)
Task #1505181989: depth 5, type 5, seed 1505181989, output 634200350 (0 descendants)
Task #2118694616: depth 5, type 5, seed 2118694616, output 4191499597 (0 descendants)
Task #2339560482: depth 5, type 5, seed 2339560482, output 3593207297 (0 descendants)
Task #4179676378: depth 5, type 5, seed 4179676378, output 198214932 (0 descendants)
Task #3994102574: depth 5, type 2, seed 3994102574, output 853113491 (0 descendants)
Task #3265052615: depth 5, type 1, seed 3265052615, output 974582 (0 descendants)
Task #3028509368: depth 5, type 3, seed 3028509368, output 14642 (0 descendants)
Task #1613936337: depth 5, type 2, seed 1613936337, output 3385986067 (0 descendants)
Task #2637066401: depth 5, type 2, seed 2637066401, output 4179604187 (0 descendants)
Task #1810939085: depth 5, type 1, seed 1810939085, output 298071 (0 descendants)
Task #3122451015: depth 5, type 2, seed 3122451015, output 361946687 (0 descendants)
Task #3255981945: depth 5, type 2, seed 3255981945, output 2409109764 (0 descendants)
Task #3456374545: depth 5, type 5, seed 3456374545, output 3440650938 (0 descendants)
Task #2810874530: depth 5, type 4, seed 2810874530, output 842543204 (0 descendants)
Task #1103777513: depth 5, type 2, seed 1103777513, output 2532460648 (0 descendants)
Task #3387180565: depth 5, type 3, seed 3387180565, output 13459 (0 descendants)
Task #3001782401: depth 5, type 4, seed 3001782401, output 1647655265 (0 descendants)
Task #732542251: depth 5, type 2, seed 732542251, output 610926180 (0 descendants)
Task #2955466894: depth 5, type 2, seed 2955466894, output 1418274171 (0 descendants)
Task #4003607119: depth 5, type 4, seed 4003607119, output 859060580 (0 descendants)
Task #1095451571: depth 5, type 1, seed 1095451571, output 738567 (0 descendants)
Task #3984807400: depth 5, type 1, seed 3984807400, output 426649 (0 descendants)
Task #129452373: depth 5, type 4, seed 129452373, output 875639088 (0 descendants)
Task #648642907: depth 5, type 1, seed 648642907, output 725778 (0 descendants)
Task #1120573283: depth 5, type 4, seed 1120573283, output 1631137840 (0 descendants)
Task #3962980731: depth 5, type 4, seed 3962980731, output 1664628021 (0 descendants)
Task #401420842: depth 5, type 5, seed 401420842, output 1919959509 (0 descendants)
Task #1801365339: depth 5, type 2, seed 1801365339, output 278096359 (0 descendants)
Task #1119188157: depth 5, type 4, seed 1119188157, output 862007856 (0 descendants)
Task #1693884613: depth 5, type 1, seed 1693884613, output 900886 (0 descendants)
Task #767640993: depth 5, type 4, seed 767640993, output 1697657401 (0 descendants)
Task #4051932112: depth 5, type 1, seed 4051932112, output 830150 (0 descendants)
Task #1566034229: depth 5, type 2, seed 1566034229, output 641655014 (0 descendants)
Task #3245526956: depth 5, type 1, seed 3245526956, output 1016682 (0 descendants)
Task #1360147677: depth 5, type 3, seed 1360147677, output 20469 (0 descendants)
Task #2392595527: depth 5, type 2, seed 2392595527, output 3489032862 (0 descendants)
Task #559944694: depth 5, type 3, seed 559944694, output 11637 (0 descendants)
Task #3167836175: depth 5, type 1, seed 3167836175, output 285419 (0 descendants)
Task #3872386902: depth 5, type 2, seed 3872386902, output 4213221377 (0 descendants)
Task #1240700448: depth 5, type 3, seed 1240700448, output 23714 (0 descendants)
Task #1437939355: depth 5, type 5, seed 1437939355, output 621802346 (0 descendants)
Task #976327227: depth 5, type 4, seed 976327227, output 845231666 (0 descendants)
Task #3363163859: depth 5, type 5, seed 3363163859, output 2622603403 (0 descendants)
Task #1060739458: depth 5, type 4, seed 1060739458, output 909193264 (0 descendants)
Task #717508363: depth 5, type 1, seed 717508363, output 379764 (0 descendants)
Task #3582283847: depth 5, type 1, seed 3582283847, output 869718 (0 descendants)
Task #2217462175: depth 5, type 4, seed 2217462175, output 809055844 (0 descendants)
Task #522646669: depth 5, type 4, seed 522646669, output 946221621 (0 descendants)
Task #3213845407: depth 5, type 5, seed 3213845407, output 2562201283 (0 descendants)
Task #77073457: depth 5, type 1, seed 77073457, output 580503 (0 descendants)
Task #2815800663: depth 5, type 2, seed 2815800663, output 2668025723 (0 descendants)
Task #4089414700: depth 5, type 2, seed 4089414700, output 1772068118 (0 descendants)
Task #1250070785: depth 5, type 1, seed 1250070785, output 18189 (0 descendants)
Task #1844923327: depth 5, type 3, seed 1844923327, output 19624 (0 descendants)
Task #1822225429: depth 5, type 4, seed 1822225429, output 862073144 (0 descendants)
Task #3255133202: depth 5, type 1, seed 3255133202, output 180087 (0 descendants)
Task #1928308028: depth 5, type 2, seed 1928308028, output 3315247352 (0 descendants)
Task #2803815819: depth 5, type 4, seed 2803815819, output 945961271 (0 descendants)
Task #1973470294: depth 5, type 3, seed 1973470294, output 18891 (0 descendants)
Task #3795660767: depth 5, type 4, seed 3795660767, output 808870498 (0 descendants)
Task #2526076905: depth 5, type 3, seed 2526076905, output 13045 (0 descendants)
Task #589575385: depth 5, type 3, seed 589575385, output 16085 (0 descendants)
Task #2312662866: depth 5, type 4, seed 2312662866, output 828662839 (0 descendants)
Task #2778854294: depth 5, type 5, seed 2778854294, output 367253074 (0 descendants)
Task #148989383: depth 5, type 3, seed 148989383, output 10947 (0 descendants)
Task #2239174998: depth 5, type 3, seed 2239174998, output 12742 (0 descendants)
Task #3463424425: depth 5, type 1, seed 3463424425, output 402409 (0 descendants)
Task #26150088: depth 5, type 4, seed 26150088, output 1633760312 (0 descendants)
Task #327799916: depth 5, type 4, seed 327799916, output 808870502 (0 descendants)
Task #3339869050: depth 5, type 4, seed 3339869050, output 859322676 (0 descendants)
Task #4250115146: depth 5, type 2, seed 4250115146, output 1725245890 (0 descendants)
Task #609514783: depth 5, type 2, seed 609514783, output 1366431555 (0 descendants)
Task #3844016842: depth 5, type 5, seed 3844016842, output 119566912 (0 descendants)
Task #2701040786: depth 5, type 5, seed 2701040786, output 1138706610 (0 descendants)
Task #230156992: depth 5, type 5, seed 230156992, output 3506443579 (0 descendants)
Task #3883326748: depth 5, type 4, seed 3883326748, output 1714565473 (0 descendants)
Task #4189484847: depth 5, type 4, seed 4189484847, output 1681155172 (0 descendants)
Task #1274605939: depth 5, type 3, seed 1274605939, output 17032 (0 descendants)
Task #2925696155: depth 5, type 1, seed 2925696155, output 177255 (0 descendants)
Task #2046942187: depth 5, type 1, seed 2046942187, output 431276 (0 descendants)
Task #848700361: depth 5, type 1, seed 848700361, output 210925 (0 descendants)
Task #4212669737: depth 5, type 4, seed 4212669737, output 1650733621 (0 descendants)
Task #1620294027: depth 5, type 5, seed 1620294027, output 2575385532 (0 descendants)
Task #3954151319: depth 5, type 4, seed 3954151319, output 845373746 (0 descendants)
Task #581115563: depth 5, type 3, seed 581115563, output 22146 (0 descendants)
Task #1539421167: depth 5, type 4, seed 1539421167, output 1684354105 (0 descendants)
Task #1140276746: depth 5, type 1, seed 1140276746, output 117796 (0 descendants)
Task #2978025675: depth 5, type 5, seed 2978025675, output 1976932677 (0 descendants)
Task #1173245400: depth 5, type 1, seed 1173245400, output 1059953 (0 descendants)
Task #2148287475: depth 5, type 1, seed 2148287475, output 286784 (0 descendants)
Task #4179333581: depth 5, type 3, seed 4179333581, output 19244 (0 descendants)
Task #1652536695: depth 5, type 4, seed 1652536695, output 1714761780 (0 descendants)
Task #2382968962: depth 5, type 3, seed 2382968962, output 13140 (0 descendants)
Task #4012450700: depth 5, type 4, seed 4012450700, output 845559605 (0 descendants)
Task #690814377: depth 5, type 5, seed 690814377, output 1024444559 (0 descendants)
Task #2463792021: depth 5, type 1, seed 2463792021, output 191808 (0 descendants)
Task #2547477184: depth 5, type 5, seed 2547477184, output 1158289154 (0 descendants)
Task #1856511171: depth 5, type 1, seed 1856511171, output 33357 (0 descendants)
Task #195382501: depth 5, type 3, seed 195382501, output 18050 (0 descendants)
Task #2415083027: depth 5, type 3, seed 2415083027, output 25321 (0 descendants)
Task #1145847810: depth 5, type 3, seed 1145847810, output 12402 (0 descendants)
Task #1662338990: depth 5, type 3, seed 1662338990, output 13391 (0 descendants)
Task #1679096046: depth 5, type 2, seed 1679096046, output 3253091458 (0 descendants)
Task #1136364728: depth 5, type 2, seed 1136364728, output 1067579021 (0 descendants)
Task #4005258692: depth 5, type 5, seed 4005258692, output 2976430285 (0 descendants)
Task #2592759192: depth 5, type 4, seed 2592759192, output 845362744 (0 descendants)
Task #4032617190: depth 5, type 3, seed 4032617190, output 13729 (0 descendants)
Task #3713669598: depth 5, type 2, seed 3713669598, output 2700920316 (0 descendants)
Task #2116004021: depth 5, type 4, seed 2116004021, output 875704881 (0 descendants)
Task #521447088: depth 5, type 2, seed 521447088, output 942283559 (0 descendants)
Task #1023957752: depth 5, type 1, seed 1023957752, output 813717 (0 descendants)
Task #1793808567: depth 5, type 4, seed 1793808567, output 926232626 (0 descendants)
Task #466768701: depth 5, type 2, seed 466768701, output 2808980825 (0 descendants)
Task #3459105008: depth 5, type 3, seed 3459105008, output 21712 (0 descendants)
Task #3928309962: depth 5, type 1, seed 3928309962, output 816214 (0 descendants)
Task #3699482525: depth 5, type 1, seed 3699482525, output 284290 (0 descendants)
Task #4151949334: depth 5, type 1, seed 4151949334, output 983480 (0 descendants)
Task #1519548787: depth 5, type 5, seed 1519548787, output 3085971099 (0 descendants)
Task #2470572552: depth 5, type 3, seed 2470572552, output 15111 (0 descendants)
Task #4278942490: depth 5, type 5, seed 4278942490, output 3196328626 (0 descendants)
Task #1183588798: depth 5, type 5, seed 1183588798, output 328868834 (0 descendants)
Task #757758574: depth 5, type 4, seed 757758574, output 1664626737 (0 descendants)
Task #2781249340: depth 5, type 1, seed 2781249340, output 328311 (0 descendants)
Task #3259964186: depth 5, type 5, seed 3259964186, output 1167470167 (0 descendants)
Task #3589723629: depth 5, type 4, seed 3589723629, output 1633904230 (0 descendants)
Task #1758422574: depth 5, type 4, seed 1758422574, output 842608996 (0 descendants)
Task #1656324968: depth 5, type 4, seed 1656324968, output 892822881 (0 descendants)
Task #2487199750: depth 5, type 3, seed 2487199750, output 16543 (0 descendants)
Task #2795072430: depth 5, type 5, seed 2795072430, output 1828204592 (0 descendants)
Task #2308164245: depth 5, type 1, seed 2308164245, output 876873 (0 descendants)
Task #1182421760: depth 5, type 1, seed 1182421760, output 955160 (0 descendants)
Task #2842072495: depth 5, type 1, seed 2842072495, output 808724 (0 descendants)
Task #595491352: depth 5, type 2, seed 595491352, output 4032748018 (0 descendants)
Task #3129084228: depth 5, type 1, seed 3129084228, output 582268 (0 descendants)
Task #1133827159: depth 5, type 2, seed 1133827159, output 1989713817 (0 descendants)
Task #123943791: depth 5, type 2, seed 123943791, output 2408916459 (0 descendants)
Task #3762579532: depth 5, type 1, seed 3762579532, output 807803 (0 descendants)
Task #2498460811: depth 5, type 5, seed 2498460811, output 3129519873 (0 descendants)
Task #806664210: depth 5, type 1, seed 806664210, output 57366 (0 descendants)
Task #3829931443: depth 5, type 1, seed 3829931443, output 401170 (0 descendants)
Task #455014526: depth 5, type 1, seed 455014526, output 568574 (0 descendants)
Task #2436238048: depth 5, type 2, seed 2436238048, output 3303394102 (0 descendants)
Task #1003315957: depth 5, type 5, seed 1003315957, output 3727047054 (0 descendants)
Task #915661414: depth 5, type 2, seed 915661414, output 312854890 (0 descendants)
Task #3180281359: depth 5, type 4, seed 3180281359, output 909128804 (0 descendants)
Task #736577218: depth 5, type 4, seed 736577218, output 892810294 (0 descendants)
Task #3178421684: depth 5, type 4, seed 3178421684, output 959930722 (0 descendants)
Task #413514391: depth 5, type 5, seed 413514391, output 1243493958 (0 descendants)
Task #2349166538: depth 5, type 1, seed 2349166538, output 673822 (0 descendants)
Task #3437234514: depth 5, type 4, seed 3437234514, output 1684169827 (0 descendants)
Task #2914769937: depth 5, type 5, seed 2914769937, output 3501151589 (0 descendants)
Task #2214838530: depth 5, type 2, seed 2214838530, output 4168931000 (0 descendants)
Task #1348147518: depth 5, type 2, seed 1348147518, output 545215140 (0 descendants)
Task #409128122: depth 5, type 2, seed 409128122, output 4121541718 (0 descendants)
Task #337637944: depth 5, type 3, seed 337637944, output 16797 (0 descendants)
Task #313318985: depth 5, type 5, seed 313318985, output 20501425 (0 descendants)
